rank,filename,subtype,split_assignment,review_priority,hard_reasons,soft_reasons,soft_count,baseline_noise_ratio,param_sensitivity,topk_spread,peak_over_baseline,topk_count,walk_baseline_contamination,topk_cand_frames_clean,rise_frame_original,exclude_candidate,recommendation
11,E4_S02_A_FALL_WALK_B_T009.csv,FALL_WALK_B,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,baseline_noise_high,1,1.30052,0.0,2,5.78,40,True,None|None|None,190,False,auto rise(frame 190.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
12,E4_S02_A_FALL_WALK_F_T009.csv,FALL_WALK_F,train,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.291,,,1.409,0,True,,,False,"weak transient (search max 1.41x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
13,E3_S03_A_FALL_WALK_B_T009.csv,FALL_WALK_B,train,high,rise_not_found,baseline_noise_high,1,1.23667,,,1.118,0,True,,,False,"weak transient (search max 1.12x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
14,E2_S02_A_FALL_WALK_F_T010.csv,FALL_WALK_F,train,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.20737,,,1.189,0,True,,,False,"weak transient (search max 1.19x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
15,E4_S03_A_FALL_SIT_B_T005.csv,FALL_SIT_B,train,high,rise_not_found,baseline_mad_high,1,1.20565,,,1.178,0,False,,,False,"weak transient (search max 1.18x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
16,E2_S02_A_FALL_SIT_F_T008.csv,FALL_SIT_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,topk_spread_high,1,1.20113,0.0,72,1.92,19,False,176|175|247,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 276(clean 176). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
17,E2_S02_A_FALL_WALK_B_T010.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.18943,2.0,2,2.247,9,False,108|107|109,192,False,auto rise(frame 192.0) in beep/early; strongest in-window candidate frame 208(clean 108). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
18,E4_S03_A_FALL_WALK_F_T010.csv,FALL_WALK_F,train,high,rise_not_found,baseline_mad_high,1,1.18674,,,1.256,0,False,,,False,"weak transient (search max 1.26x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
19,E4_S02_A_FALL_WALK_B_T005.csv,FALL_WALK_B,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low;baseline_mad_high,2,1.17836,1.0,0,1.418,1,False,None,190,False,auto rise(frame 190.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
20,E3_S03_A_FALL_WALK_F_T003.csv,FALL_WALK_F,val,high,rise_not_found,,0,1.16539,,,1.197,0,False,,,False,"weak transient (search max 1.20x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
21,E4_S03_A_FALL_WALK_B_T005.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.16268,2.0,2,4.089,78,False,137|138|136,198,False,auto rise(frame 198.0) in beep/early; strongest in-window candidate frame 237(clean 137). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
22,E4_S02_A_FALL_WALK_F_T001.csv,FALL_WALK_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.16037,0.0,2,8.975,39,False,145|144|143,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 245(clean 145). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
23,E1_S01_A_FALL_SIT_F_T006.csv,FALL_SIT_F,train,high,rise_not_found,,0,1.15641,41.0,,1.275,0,False,,,False,"weak transient (search max 1.28x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
24,E2_S02_A_FALL_STD_B_T009.csv,FALL_STD_B,val,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.15557,0.0,2,2.067,29,False,164|163|162,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 264(clean 164). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
25,E2_S02_A_FALL_STD_B_T002.csv,FALL_STD_B,train,high,rise_not_found,baseline_mad_high,1,1.15083,,,1.28,0,False,,,False,"weak transient (search max 1.28x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
26,E2_S02_A_FALL_WALK_B_T002.csv,FALL_WALK_B,val,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.14396,0.0,2,2.147,27,False,None|None|None,190,False,auto rise(frame 190.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
27,E4_S01_A_FALL_WALK_B_T004.csv,FALL_WALK_B,train,high,topk_no_consensus_hard,confidence_ref_low;param_sensitivity_high;topk_spread_high,3,1.14331,123.0,94,1.38,4,False,215|249|155,255,False,"auto rise frame 255.0(clean 155) but weak (soft: confidence_ref_low,param_sensitivity_high,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
28,E3_S03_A_FALL_STD_F_T005.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.14269,3.0,2,1.581,62,False,186|187|185,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 286(clean 186). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
29,E4_S02_A_FALL_SIT_B_T002.csv,FALL_SIT_B,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.13815,0.0,2,2.036,75,False,None|None|None,190,False,auto rise(frame 190.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
30,E4_S02_A_FALL_WALK_B_T001.csv,FALL_WALK_B,val,high,rise_not_found,,0,1.13378,0.0,,1.278,0,False,,,False,"weak transient (search max 1.28x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
31,E2_S02_A_FALL_STD_B_T010.csv,FALL_STD_B,val,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.13328,3.0,2,3.078,13,False,137|138|136,198,False,auto rise(frame 198.0) in beep/early; strongest in-window candidate frame 237(clean 137). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
32,E1_S01_A_FALL_SIT_B_T005.csv,FALL_SIT_B,val,high,rise_not_found,param_sensitivity_high,1,1.13147,86.0,,1.305,0,False,,,False,"weak transient (search max 1.31x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
33,E1_S01_A_FALL_SIT_B_T008.csv,FALL_SIT_B,val,high,rise_not_found,param_sensitivity_high,1,1.13147,86.0,,1.305,0,False,,,False,"weak transient (search max 1.31x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
34,E4_S01_A_FALL_WALK_B_T002.csv,FALL_WALK_B,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.13074,0.0,2,2.612,56,False,None|100|101,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 200(clean 100). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
35,E1_S01_A_FALL_SIT_B_T009.csv,FALL_SIT_B,train,high,rise_not_found,,0,1.12875,1.0,,1.188,0,False,,,False,"weak transient (search max 1.19x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
36,E4_S03_A_FALL_WALK_F_T002.csv,FALL_WALK_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,topk_spread_high,1,1.12482,1.0,16,1.428,19,False,168|170|184,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 268(clean 168). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
37,E3_S03_A_FALL_WALK_B_T006.csv,FALL_WALK_B,val,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200;topk_no_consensus_hard,rise_strength_low;rise_slope_low;confidence_ref_low;topk_spread_high,4,1.1244,3.0,97,1.203,7,False,153|None|193,194,False,auto rise(frame 194.0) in beep/early; strongest in-window candidate frame 253(clean 153). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
38,E4_S03_A_FALL_WALK_F_T007.csv,FALL_WALK_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,param_sensitivity_high,1,1.11864,67.0,2,5.53,50,False,174|175|173,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 274(clean 174). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
39,E2_S02_A_FALL_STD_F_T005.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,baseline_mad_high;topk_spread_high,2,1.11807,1.0,48,2.274,22,False,170|169|122,196,False,auto rise(frame 196.0) in beep/early; strongest in-window candidate frame 270(clean 170). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
40,E1_S01_A_FALL_STD_F_T005.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200;topk_no_consensus_hard,confidence_ref_low;topk_spread_high,2,1.11788,3.0,112,1.728,39,False,209|None|None,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 309(clean 209). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
41,E2_S02_A_FALL_WALK_F_T005.csv,FALL_WALK_F,val,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.11726,0.0,9,1.887,26,False,None|None|100,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 200(clean 100). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
42,E1_S01_A_FALL_STD_F_T003.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200;topk_no_consensus_hard,confidence_ref_low;topk_spread_high,2,1.11469,0.0,109,1.64,26,False,209|101|100,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 309(clean 209). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
43,E2_S02_A_FALL_WALK_B_T005.csv,FALL_WALK_B,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.11465,0.0,2,1.393,3,False,None|None|None,190,False,auto rise(frame 190.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
44,E4_S03_A_FALL_WALK_B_T010.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200;topk_no_consensus_hard,confidence_ref_low;topk_spread_high,2,1.11186,3.0,97,1.351,12,False,194|None|None,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 294(clean 194). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
45,E4_S01_A_FALL_WALK_F_T003.csv,FALL_WALK_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.10986,0.0,4,2.173,58,False,107|104|103,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 207(clean 107). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
46,E4_S01_A_FALL_WALK_F_T001.csv,FALL_WALK_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.1072,1.0,2,2.298,80,False,149|148|147,199,False,auto rise(frame 199.0) in beep/early; strongest in-window candidate frame 249(clean 149). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
47,E3_S03_A_FALL_WALK_B_T005.csv,FALL_WALK_B,train,high,rise_not_found,,0,1.10629,0.0,,1.17,0,False,,,False,"weak transient (search max 1.17x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
48,E2_S02_A_FALL_SIT_B_T007.csv,FALL_SIT_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.10425,23.0,2,2.374,58,False,152|151|150,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 252(clean 152). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
49,E4_S02_A_FALL_SIT_B_T004.csv,FALL_SIT_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,confidence_ref_low,1,1.1025,2.0,2,3.827,78,False,238|239|237,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 338(clean 238). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
50,E3_S03_A_FALL_SIT_B_T006.csv,FALL_SIT_B,train,high,rise_not_found,param_sensitivity_high,1,1.10201,139.0,,1.223,0,False,,,False,"weak transient (search max 1.22x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
51,E2_S02_A_FALL_WALK_F_T008.csv,FALL_WALK_F,train,high,rise_not_found,,0,1.10165,0.0,,1.253,0,False,,,False,"weak transient (search max 1.25x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
52,E4_S01_A_FALL_SIT_B_T009.csv,FALL_SIT_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.10072,6.0,3,2.213,141,False,140|139|137,194,False,auto rise(frame 194.0) in beep/early; strongest in-window candidate frame 240(clean 140). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
53,E4_S01_A_FALL_STD_F_T008.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.10012,1.0,2,2.576,74,False,207|206|208,199,False,auto rise(frame 199.0) in beep/early; strongest in-window candidate frame 307(clean 207). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
54,E3_S03_A_FALL_WALK_B_T003.csv,FALL_WALK_B,train,high,rise_not_found,,0,1.09971,1.0,,1.172,0,False,,,False,"weak transient (search max 1.17x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
55,E4_S01_A_FALL_SIT_F_T004.csv,FALL_SIT_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.09823,0.0,8,1.721,98,False,159|167|166,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 259(clean 159). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
56,E1_S01_A_FALL_STD_F_T001.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200;topk_no_consensus_hard,confidence_ref_low;topk_spread_high,2,1.09787,3.0,112,2.141,59,False,209|100|None,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 309(clean 209). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
57,E1_S01_A_FALL_STD_F_T007.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200;topk_no_consensus_hard,confidence_ref_low;topk_spread_high,2,1.09787,3.0,112,2.141,59,False,209|100|None,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 309(clean 209). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
58,E4_S03_A_FALL_WALK_B_T006.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.09678,1.0,2,2.327,64,False,186|185|187,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 286(clean 186). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
59,E3_S03_A_FALL_STD_F_T003.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.09659,0.0,2,2.489,69,False,101|100|102,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 201(clean 101). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
60,E4_S01_A_FALL_WALK_B_T005.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.09509,0.0,2,1.942,39,False,193|194|192,197,False,auto rise(frame 197.0) in beep/early; strongest in-window candidate frame 293(clean 193). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
61,E4_S02_A_FALL_STD_B_T009.csv,FALL_STD_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.09257,1.0,2,4.411,64,False,119|118|120,191,False,auto rise(frame 191.0) in beep/early; strongest in-window candidate frame 219(clean 119). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
62,E1_S01_A_FALL_SIT_B_T002.csv,FALL_SIT_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.09229,0.0,2,1.686,64,False,165|166|164,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 265(clean 165). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
63,E3_S03_A_FALL_WALK_B_T008.csv,FALL_WALK_B,train,high,rise_not_found,,0,1.08971,0.0,,1.252,0,False,,,False,"weak transient (search max 1.25x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
64,E4_S02_A_FALL_STD_F_T006.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200;topk_no_consensus_hard,rise_slope_low;confidence_ref_low;topk_spread_high,3,1.08879,0.0,106,2.144,55,False,211|107|105,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 311(clean 211). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
65,E3_S03_A_FALL_SIT_F_T010.csv,FALL_SIT_F,train,high,topk_no_consensus_hard,confidence_ref_low;topk_spread_high,2,1.08668,3.0,89,1.309,22,False,140|228|139,236,False,"auto rise frame 236.0(clean 136) but weak (soft: confidence_ref_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
66,E4_S03_A_FALL_WALK_B_T003.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.08667,0.0,3,3.404,83,False,173|170|172,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 273(clean 173). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
67,E4_S03_A_FALL_WALK_B_T001.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.08642,1.0,2,1.718,75,False,186|187|185,198,False,auto rise(frame 198.0) in beep/early; strongest in-window candidate frame 286(clean 186). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
68,E2_S02_A_FALL_SIT_F_T001.csv,FALL_SIT_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.0862,6.0,0,1.258,1,False,None,198,False,auto rise(frame 198.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
69,E4_S01_A_FALL_WALK_B_T001.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.08606,3.0,2,1.985,28,False,119|120|118,194,False,auto rise(frame 194.0) in beep/early; strongest in-window candidate frame 219(clean 119). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
70,E4_S02_A_FALL_SIT_B_T001.csv,FALL_SIT_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.0848,0.0,2,1.698,105,False,195|196|197,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 295(clean 195). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
71,E1_S01_A_FALL_STD_F_T009.csv,FALL_STD_F,val,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.08298,1.0,6,1.615,37,False,209|203|204,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 309(clean 209). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
72,E4_S01_A_FALL_WALK_F_T002.csv,FALL_WALK_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.08248,0.0,3,2.17,92,False,216|213|214,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 316(clean 216). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
73,E1_S01_A_FALL_WALK_B_T005.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.08143,0.0,2,2.945,21,False,182|183|181,199,False,auto rise(frame 199.0) in beep/early; strongest in-window candidate frame 282(clean 182). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
74,E1_S01_A_FALL_SIT_F_T004.csv,FALL_SIT_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.08057,0.0,2,2.025,39,False,151|149|150,196,False,auto rise(frame 196.0) in beep/early; strongest in-window candidate frame 251(clean 151). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
75,E2_S02_A_FALL_STD_B_T001.csv,FALL_STD_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_strength_low;topk_spread_high,2,1.07569,1.0,20,1.542,10,False,115|None|114,191,False,auto rise(frame 191.0) in beep/early; strongest in-window candidate frame 215(clean 115). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
76,E3_S03_A_FALL_SIT_B_T001.csv,FALL_SIT_B,train,high,rise_not_found,,0,1.0747,0.0,,1.201,0,False,,,False,"weak transient (search max 1.20x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
77,E4_S01_A_FALL_WALK_B_T010.csv,FALL_WALK_B,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.0738,0.0,2,1.429,26,False,None|None|None,190,False,auto rise(frame 190.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
78,E3_S03_A_FALL_SIT_B_T004.csv,FALL_SIT_B,train,high,rise_not_found,,0,1.07377,1.0,,1.169,0,False,,,False,"weak transient (search max 1.17x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
79,E1_S01_A_FALL_WALK_B_T003.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.07328,1.0,2,3.043,20,False,182|183|181,199,False,auto rise(frame 199.0) in beep/early; strongest in-window candidate frame 282(clean 182). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
80,E4_S03_A_FALL_STD_F_T002.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.07302,8.0,2,1.769,59,False,145|144|146,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 245(clean 145). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
